Time	Node	FaceId	FaceDescr	Type	Packets	Kilobytes	PacketRaw	KilobytesRaw
0.1	3	2	internal://	OutTimedOutInterests	0	0	0	0
0.1	3	256	internal://	InInterests	0	0	0	0
0.1	3	256	internal://	OutInterests	0	0	0	0
0.1	3	256	internal://	InData	0	0	0	0
0.1	3	256	internal://	OutData	0	0	0	0
0.1	3	256	internal://	InNacks	0	0	0	0
0.1	3	256	internal://	OutNacks	0	0	0	0
0.1	3	256	internal://	InSatisfiedInterests	16	0	2	0
0.1	3	256	internal://	InTimedOutInterests	0	0	0	0
0.1	3	256	internal://	OutSatisfiedInterests	0	0	0	0
0.1	3	256	internal://	OutTimedOutInterests	0	0	0	0
0.1	3	-1	all	SatisfiedInterests	56	0	7	0
0.1	3	-1	all	TimedOutInterests	0	0	0	0
0.1	4	1	internal://	InInterests	0	0	0	0
0.1	4	1	internal://	OutInterests	0	0	0	0
0.1	4	1	internal://	InData	0	0	0	0
0.1	4	1	internal://	OutData	0	0	0	0
0.1	4	1	internal://	InNacks	0	0	0	0
0.1	4	1	internal://	OutNacks	0	0	0	0
0.1	4	1	internal://	InSatisfiedInterests	0	0	0	0
0.1	4	1	internal://	InTimedOutInterests	0	0	0	0
0.1	4	1	internal://	OutSatisfiedInterests	56	0	7	0
0.1	4	1	internal://	OutTimedOutInterests	0	0	0	0
0.1	4	2	internal://	InInterests	0	0	0	0
0.1	4	2	internal://	OutInterests	0	0	0	0
0.1	4	2	internal://	InData	0	0	0	0
0.1	4	2	internal://	OutData	0	0	0	0
0.1	4	2	internal://	InNacks	0	0	0	0
0.1	4	2	internal://	OutNacks	0	0	0	0
0.1	4	2	internal://	InSatisfiedInterests	40	0	5	0
0.1	4	2	internal://	InTimedOutInterests	0	0	0	0
0.1	4	2	internal://	OutSatisfiedInterests	0	0	0	0
0.1	4	2	internal://	OutTimedOutInterests	0	0	0	0
0.1	4	256	internal://	InInterests	0	0	0	0
0.1	4	256	internal://	OutInterests	0	0	0	0
0.1	4	256	internal://	InData	0	0	0	0
0.1	4	256	internal://	OutData	0	0	0	0
0.1	4	256	internal://	InNacks	0	0	0	0
0.1	4	256	internal://	OutNacks	0	0	0	0
0.1	4	256	internal://	InSatisfiedInterests	16	0	2	0
0.1	4	256	internal://	InTimedOutInterests	0	0	0	0
0.1	4	256	internal://	OutSatisfiedInterests	0	0	0	0
0.1	4	256	internal://	OutTimedOutInterests	0	0	0	0
0.1	4	-1	all	SatisfiedInterests	56	0	7	0
0.1	4	-1	all	TimedOutInterests	0	0	0	0
0.1	5	1	internal://	InInterests	0	0	0	0
0.1	5	1	internal://	OutInterests	0	0	0	0
0.1	5	1	internal://	InData	0	0	0	0
0.1	5	1	internal://	OutData	0	0	0	0
0.1	5	1	internal://	InNacks	0	0	0	0
0.1	5	1	internal://	OutNacks	0	0	0	0
0.1	5	1	internal://	InSatisfiedInterests	0	0	0	0
0.1	5	1	internal://	InTimedOutInterests	0	0	0	0
0.1	5	1	internal://	OutSatisfiedInterests	56	0	7	0
0.1	5	1	internal://	OutTimedOutInterests	0	0	0	0
0.1	5	2	internal://	InInterests	0	0	0	0
0.1	5	2	internal://	OutInterests	0	0	0	0
0.1	5	2	internal://	InData	0	0	0	0
0.1	5	2	internal://	OutData	0	0	0	0
0.1	5	2	internal://	InNacks	0	0	0	0
0.1	5	2	internal://	OutNacks	0	0	0	0
0.1	5	2	internal://	InSatisfiedInterests	40	0	5	0
0.1	5	2	internal://	InTimedOutInterests	0	0	0	0
0.1	5	2	internal://	OutSatisfiedInterests	0	0	0	0
0.1	5	2	internal://	OutTimedOutInterests	0	0	0	0
0.1	5	256	internal://	InInterests	0	0	0	0
0.1	5	256	internal://	OutInterests	0	0	0	0
0.1	5	256	internal://	InData	0	0	0	0
0.1	5	256	internal://	OutData	0	0	0	0
0.1	5	256	internal://	InNacks	0	0	0	0
0.1	5	256	internal://	OutNacks	0	0	0	0
0.1	5	256	internal://	InSatisfiedInterests	16	0	2	0
0.1	5	256	internal://	InTimedOutInterests	0	0	0	0
0.1	5	256	internal://	OutSatisfiedInterests	0	0	0	0
